Area,BHK,Bathroom,Furnishing,Parking,Price,Transaction,Type,Price Per_Sqft
1450,3,3,Semi-Furnished,2,37500000,New_Property,Builder_Floor,
1450,3,3,Semi-Furnished,2,30000000,New_Property,Builder_Floor,
1260,3,3,Semi-Furnished,2,21000000,Resale,Builder_Floor,
2925,4,4,Unfurnished,2,57500000,New_Property,Builder_Floor,
1710,3,3,Semi-Furnished,1,30000000,Resale,Builder_Floor,
1600,3,3,Unfurnished,1,30000000,New_Property,Builder_Floor,
1500,3,3,Semi-Furnished,1,31500000,Resale,Builder_Floor,
2200,3,3,Unfurnished,1,30000000,Resale,Builder_Floor,
1350,3,3,Unfurnished,1,41500000,New_Property,Builder_Floor,
1710,3,3,Semi-Furnished,1,24800000,Resale,Builder_Floor,
1350,3,3,Semi-Furnished,2,35000000,Resale,Builder_Floor,
1500,3,3,Semi-Furnished,1,40000000,Resale,Builder_Floor,26666
2880,4,5,Unfurnished,1,46000000,New_Property,Builder_Floor,15972
2700,4,4,Semi-Furnished,2,55000000,Resale,Builder_Floor,183333
1400,3,3,Unfurnished,1,24500000,Resale,Builder_Floor,183333
1800,3,3,Unfurnished,1,24500000,Resale,Apartment,183333
1400,3,3,Semi-Furnished,1,32500000,New_Property,Builder_Floor,183333
1000,2,2,Furnished,1,20000000,Resale,Apartment,20000
8000,4,5,Semi-Furnished,1,240000000,New_Property,Builder_Floor,20000
1000,2,2,Furnished,1,20000000,Resale,Apartment,20000
1700,3,3,Furnished,2,19000000,Resale,Builder_Floor,20000
1600,3,3,Unfurnished,2,26000000,Resale,Builder_Floor,20000
1350,3,3,Unfurnished,1,21000000,Resale,Builder_Floor,15556
1700,3,3,Semi-Furnished,1,27500000,Resale,Builder_Floor,16176
1400,3,3,Semi-Furnished,2,32500000,New_Property,Builder_Floor,16176
1450,3,3,Semi-Furnished,1,45000000,New_Property,Builder_Floor,16176
1350,3,3,Semi-Furnished,1,21000000,Resale,Builder_Floor,15556
1700,3,3,Unfurnished,1,28000000,Resale,Builder_Floor,15556
1600,3,3,Unfurnished,2,29500000,Resale,Builder_Floor,15556
1500,1,,Unfurnished,,13500000,Resale,Apartment,
800,2,2,Unfurnished,1,14000000,New_Property,Builder_Floor,
1710,3,3,Semi-Furnished,4,26000000,New_Property,Builder_Floor,
1350,2,2,Furnished,4,12500000,Resale,Builder_Floor,9259
1500,3,3,Semi-Furnished,2,26000000,New_Property,Builder_Floor,9259
750,2,2,Semi-Furnished,2,11500000,New_Property,Builder_Floor,9259
850,2,2,Semi-Furnished,2,14600000,Resale,Builder_Floor,9259
